rep,guard,recall,fpr
274,v2,0.8543956043956044,0.0
274,v3,1.0,0.0
275,v2,0.8559622195985832,0.0
275,v3,1.0,0.0
276,v2,0.8533805031446541,0.0
276,v3,1.0,0.0
277,v2,0.8591494342567304,0.0
277,v3,1.0,0.0
278,v2,0.8523255813953489,0.0
278,v3,1.0,0.0
279,v2,0.8547376664056382,0.0
279,v3,1.0,0.0
280,v2,0.8501362397820164,0.0
280,v3,1.0,0.0
281,v2,0.8585308977846872,0.0
281,v3,1.0,0.0
282,v2,0.8486381322957198,0.0
282,v3,1.0,0.0
283,v2,0.856921287320667,0.0
283,v3,1.0,0.0
284,v2,0.853243670886076,0.0
284,v3,1.0,0.0
285,v2,0.8514890282131662,0.0
285,v3,1.0,0.0
286,v2,0.8545313107740179,0.0
286,v3,1.0,0.0
287,v2,0.8576982892690513,0.0
287,v3,1.0,0.0
288,v2,0.8598130841121495,0.0
288,v3,1.0,0.0
289,v2,0.8513566653558788,0.0
289,v3,1.0,0.0
290,v2,0.8580294802172227,0.0
290,v3,1.0,0.0
291,v2,0.8496299181924425,0.0
291,v3,1.0,0.0
292,v2,0.8585741811175337,0.0
292,v3,1.0,0.0
293,v2,0.8514040561622465,0.0
293,v3,1.0,0.0
294,v2,0.855191256830601,0.0
294,v3,1.0,0.0
295,v2,0.8530564263322884,0.0
295,v3,1.0,0.0
296,v2,0.8522243713733075,0.0
296,v3,1.0,0.0
297,v2,0.8529868114817688,0.0
297,v3,1.0,0.0
298,v2,0.8567525370804059,0.0
298,v3,1.0,0.0
299,v2,0.8441507967353284,0.0
299,v3,1.0,0.0
300,v2,0.8556822650412899,0.0
300,v3,1.0,0.0
301,v2,0.8553141970519783,0.0
301,v3,1.0,0.0
302,v2,0.8547310561444837,0.0
302,v3,1.0,0.0
303,v2,0.8586614173228346,0.0
303,v3,1.0,0.0
304,v2,0.8570875290472502,0.0
304,v3,1.0,0.0
305,v2,0.8545098039215686,0.0
305,v3,1.0,0.0
306,v2,0.8562898089171974,0.0
306,v3,1.0,0.0
307,v2,0.8493312352478364,0.0
307,v3,1.0,0.0
308,v2,0.8527679623085983,0.0
308,v3,1.0,0.0
309,v2,0.8559814169570267,0.0
309,v3,1.0,0.0
310,v2,0.8601016021883549,0.0
310,v3,1.0,0.0
311,v2,0.8571428571428571,0.0
311,v3,1.0,0.0
312,v2,0.8565285379202502,0.0
312,v3,1.0,0.0
313,v2,0.8525741029641186,0.0
